tipu,esta,muni,dess,ptda,msnm,lati,logi,temp,temp_min,temp_max,hrel,vent,vent_dir,vent_max,prec,prec_mes,prec_int_h,data_ini
soci,c01m038e01,Castellfort,,,1.181,40.50232930,-0.19081161,"12,2","5,9","12,2","59,0","4,8",S,"43,5","0,0","22,4","0,0",23/09/2025 13:50
soci,c01m045e01,Cinctorres,,,910,40.58250000,-0.21611100,"14,1","6,2","14,3","52,0","8,0",NO,"43,5","0,0","5,0","0,0",23/09/2025 13:53
soci,c01m061e01,Forcall,,,692,40.64257200,-0.19840600,"16,2","3,7","16,4","55,0","9,7",N,"33,8","0,0","42,8","0,0",23/09/2025 13:47
soci,c01m068e01,Herbers,,,753,40.71879000,-0.00353200,"14,8","3,7","14,8","54,0","11,3",SO,"40,2","0,0","60,7","0,0",23/09/2025 13:51
soci,c01m075e02,la Mata,,,845,40.61761500,-0.27982300,"14,4","4,4","14,6","56,0","12,9",O,"43,5","0,0","53,8","0,0",23/09/2025 13:48
soci,c01m080e01,Morella,centro,,980,40.61900000,-0.10000000,"15,0","6,3","15,0","55,0","9,7",S,"30,6","0,0","43,6","0,0",23/09/2025 13:51
soci,c01m080e03,Morella,F&agrave;brica Giner,,766,40.61940850,-0.13272580,"16,3","3,9","16,3","56,0",,,,"0,0","42,4","0,0",23/09/2025 13:51
soci,c01m080e04,Morella,Mas d&#039;Agustino,,947,40.58551800,-0.05901400,"14,5","4,1","14,5","60,0","27,7",NNO,"48,0","0,0","66,0","0,0",23/09/2025 13:55
soci,c01m080e05,Morella,Mas de Planet,,929,40.55454300,-0.12247400,"13,9","3,0","13,9","53,0","18,8",NNO,"40,2","0,0",,"0,0",23/09/2025 13:55
soci,c01m083e01,Olocau del Rey,la Magdalena <img class='mxlogis' alt='(Electra del Maestrazgo)' src='https://www.avamet.org/fotos/logis/logo-electra.png'>,,1.152,40.64103630,-0.33015090,"13,1","5,2","13,1","59,0","19,3",N,"56,3","0,0","20,2","0,0",23/09/2025 13:50
avmt,c01m091e01,Portell de Morella,,,1.074,40.53250000,-0.26250000,"13,8","6,0","13,8","53,0","0,0",N,"38,6","0,0","6,2","0,0",23/09/2025 13:55
avmt,c01m141e01,Sorita,,,626,40.72770000,-0.16970000,"16,8","4,6","17,8","52,0","16,1",NNE,"35,4","0,0","32,4","0,0",23/09/2025 13:55
avmt,c01m127e01,Vallibona,,,644,40.60324370,0.04595780,"17,2","8,1","17,3","55,0","20,9",SO,"41,8","0,0","64,6","0,0",23/09/2025 13:55
soci,c01m129e02,Vilafranca,,,1.132,40.42830600,-0.25882700,"12,2","4,3","12,3","57,0","16,1",NO,"40,2","0,0","48,2","0,0",23/09/2025 13:51
soci,c01m129e03,Vilafranca,,la Pobla del Bellestar,1.140,40.46374000,-0.31120100,"13,9","0,5","13,9","54,0","16,1",NNE,"38,6","0,0","37,0","0,0",23/09/2025 13:48
soci,c01m129e05,Vilafranca,Pla de Mossorro,,1.163,40.39890500,-0.25788300,"13,8","3,3","13,9","53,0","19,3",NE,"32,2","0,0","43,4","0,0",23/09/2025 13:50
soci,c02m003e03,Alboc&agrave;sser,,,525,40.35653300,0.02331100,"18,1","12,1","18,1","46,0","16,1",NNO,"40,2","0,0","28,0","0,0",23/09/2025 13:48
soci,c02m003e02,Alboc&agrave;sser,la Llacuna <img class='mxlogis' alt='AMEAL' src='https://www.avamet.org/fotos/logis/logo-ameal.png'>,,538,40.35051300,-0.00725500,"18,9","11,3","19,7","43,0","35,4",N,"41,8","0,0","26,6","0,0",23/09/2025 13:46
